,aroon_Aroon Down,aroon_Aroon Up,bbands_close_Real Lower Band,bbands_close_Real Middle Band,bbands_close_Real Upper Band,cci_CCI,macd_close_MACD_Hist,obv_OBV,rsi_close_RSI,sma_close_100_SMA,sma_close_20_SMA,stoch_SlowD,stock_time_series_adjusted_adjusted_close,crudeoil_Open,dollar_Open,fedfund_Open,gold_Open,treasury_3 MO,treasury_10 YR
2020-02-13,64.0,100.0,295.8199,303.6620000000001,311.5041,103.343,0.59,150227899.0,65.7599,288.0586,303.6620000000001,86.2415,309.76,75.25,98.535,98.85,1566.8,1.59,1.61
2020-02-12,68.0,100.0,295.8801,303.2495,310.6189,130.3988,0.5621,152266495.0,66.5652,287.7115,303.2495,89.2079,310.06,51.26,98.31,98.83,1567.9,1.58,1.62
2020-02-11,0.0,100.0,296.0548,302.7885,309.5222,127.2818,0.4072,150193295.0,63.8521,287.3762,302.7885,90.4138,308.08,50.97,98.37,98.84,1573.0,1.57,1.59
2020-02-10,4.0,100.0,296.1414,302.4465,308.7516,98.2111,0.2969,147757389.0,63.065,287.0613,302.4465,94.0582,307.52,50.87,98.17,98.825,1573.0,1.58,1.56
2020-02-07,8.0,96.0,296.0373,302.0335,308.0297,83.4621,0.1238,145518724.0,59.8937,286.7503,302.0335,88.6643,305.33,51.36,97.92,98.805,1567.6,1.56,1.59
2020-02-06,0.0,100.0,295.9214,301.773,307.6246,111.6022,0.0321,147767681.0,63.5001,286.4537,301.773,74.0335,306.89,51.45,97.795,98.76,1556.8,1.57,1.65
2020-02-05,4.0,100.0,295.7653,301.3315,306.8977,90.4548,-0.3035,145851414.0,62.0869,286.1506,301.3315,54.1174,305.85,50.12,97.475,98.855,1553.2,1.57,1.66
2020-02-04,8.0,64.0,295.33,300.8655,306.401,20.6486,-0.7352,142805598.0,57.0034,285.8586,300.8655,40.0645,302.43,49.66,97.3,98.87,1579.5,1.57,1.61
2020-02-03,12.0,68.0,294.9224,300.6115,306.3006,-95.454,-1.043,140521342.0,48.3775,285.5927,300.6115,38.6034,297.84,50.42,96.885,98.935,1594.6,1.57,1.54
2020-01-31,16.0,72.0,294.6471,300.5315,306.4159,-144.8608,-1.0109,137268734.0,43.4423,285.353,300.5315,36.7616,295.69,51.53,97.33,98.87,1575.6,1.55,1.51
2020-01-30,20.0,76.0,295.1223,300.668,306.2137,-65.4619,-0.6914,143451702.0,55.9078,285.1342,300.668,33.3144,301.09,51.11,97.47,98.87,1578.7,1.57,1.57
2020-01-29,24.0,80.0,294.4723,300.4035,306.3347,-38.9345,-0.7125,139044797.0,53.7632,284.8607,300.4035,29.2979,300.15,51.75,97.435,98.805,1569.0,1.56,1.6
