,AD_Chaikin A/D,AROON_Aroon Down,AROON_Aroon Up,BBANDS_Real Lower Band,BBANDS_Real Middle Band,BBANDS_Real Upper Band,BBANDS_Real Lower Band,BBANDS_Real Middle Band,BBANDS_Real Upper Band,BBANDS_Real Lower Band,BBANDS_Real Middle Band,BBANDS_Real Upper Band,BBANDS_Real Lower Band,BBANDS_Real Middle Band,BBANDS_Real Upper Band,CCI_CCI,EMA_EMA,EMA_EMA,EMA_EMA,EMA_EMA,MACD_MACD,MACD_MACD_Hist,MACD_MACD_Signal,MACD_MACD,MACD_MACD_Hist,MACD_MACD_Signal,MACD_MACD,MACD_MACD_Hist,MACD_MACD_Signal,MACD_MACD,MACD_MACD_Hist,MACD_MACD_Signal,OBV_OBV,RSI_RSI,RSI_RSI,RSI_RSI,RSI_RSI,STOCH_SlowD,STOCH_SlowK,TIME_SERIES_DAILY_ADJUSTED_open,TIME_SERIES_DAILY_ADJUSTED_high,TIME_SERIES_DAILY_ADJUSTED_low,TIME_SERIES_DAILY_ADJUSTED_close,TIME_SERIES_DAILY_ADJUSTED_adjusted_close,TIME_SERIES_DAILY_ADJUSTED_volume,TIME_SERIES_DAILY_ADJUSTED_dividend_amount,TIME_SERIES_DAILY_ADJUSTED_split_coefficient,stock_symbol
2019-09-06,42225218.0822,0.0,100.0,37.5292,39.7125,41.8958,38.063,40.1955,42.328,37.0268,39.2695,41.5123,37.7064,39.7535,41.8006,131.3444,37.9542,37.9542,37.5269,37.9432,0.4823,0.2041,0.2781,0.4767,0.199,0.2778,0.5172,0.234,0.2832,0.4452,0.1632,0.2821,122582700.0,59.9661,62.3212,61.8969,58.9216,68.2985,77.8176,41.44,42.28,41.44,41.75,41.75,2769900,0.0,1.0,MAS
2019-09-05,42950659.3967,7.1429,100.0,37.641,39.6165,41.592,38.1725,40.0793,41.986,37.1546,39.1665,41.1784,37.752,39.651,41.55,114.2968,37.916,37.916,37.4875,37.9081,0.3862,0.1592,0.2271,0.3732,0.1452,0.228,0.4099,0.1852,0.2247,0.372,0.1308,0.2413,119812800.0,57.8746,59.6866,59.9506,56.8745,65.9746,64.5221,41.0,41.74,41.0,41.26,41.26,2368300,0.0,1.0,MAS
2019-09-04,43654763.1044,0.0,85.7143,37.6776,39.511,41.3444,38.1785,39.9553,41.732,37.195,39.0405,40.8861,37.7202,39.5435,41.3668,68.8836,37.8824,37.8824,37.4522,37.877,0.308,0.1207,0.1873,0.2907,0.099,0.1917,0.3118,0.1335,0.1783,0.318,0.1094,0.2086,117444500.0,55.2144,53.9883,56.479,53.3943,69.8843,62.5557,40.29,40.71,40.26,40.66,40.66,2492500,0.0,1.0,MAS
2019-09-03,41716142.6029,7.1429,92.8571,37.6974,39.4535,41.2096,38.1473,39.8973,41.6472,37.1826,38.953,40.7235,37.6673,39.4755,41.2837,33.3624,37.8545,37.8545,37.424,37.8528,0.2647,0.1076,0.1571,0.286,0.119,0.167,0.2574,0.1125,0.145,0.3167,0.1355,0.1812,114952000.0,51.3125,53.6338,51.6396,54.0215,69.7003,70.8458,40.4,40.65,39.34,39.84,39.84,2517600,0.0,1.0,MAS
2019-08-30,42311912.5566,14.2857,100.0,37.6204,39.3965,41.1726,38.1328,39.8498,41.5667,37.1032,38.895,40.6868,37.6661,39.424,41.1819,122.3256,37.8346,37.8346,37.4048,37.8272,0.2891,0.1588,0.1302,0.2819,0.1447,0.1373,0.278,0.1611,0.1169,0.2993,0.1519,0.1473,117469600.0,56.2518,59.2896,61.0224,59.7046,59.8028,76.2512,41.36,41.45,40.71,40.73,40.73,2077400,0.0,1.0,MAS
2019-08-29,44277018.3496,21.4286,57.1429,37.6676,39.3585,41.0494,38.2232,39.7813,41.3393,37.2154,38.802,40.3887,37.7901,39.3105,40.8309,149.7617,37.8055,37.8055,37.3715,37.7917,0.2254,0.1349,0.0905,0.1912,0.0901,0.1011,0.1606,0.0841,0.0766,0.1749,0.0655,0.1094,119547000.0,58.3011,57.8982,59.5788,56.1821,42.4771,62.004,40.57,41.18,40.42,41.08,41.08,2439500,0.0,1.0,MAS
2019-08-28,42479480.4334,28.5714,64.2857,37.7667,39.2625,40.7583,38.2111,39.7858,41.3604,37.3238,38.736,40.1482,37.7608,39.322,40.8832,49.6389,37.7726,37.7726,37.3409,37.7638,0.1052,0.0484,0.0568,0.1001,0.0215,0.0786,0.0381,-0.0175,0.0556,0.094,0.001,0.093,117107500.0,53.5412,52.4171,49.0692,48.3864,35.2188,41.1531,39.1,40.2,38.68,40.02,40.02,2442900,0.0,1.0,MAS
2019-08-27,40615162.8188,35.7143,71.4286,37.6964,39.3,40.9036,38.0855,39.8604,41.6353,37.2524,38.816,40.3796,37.6132,39.444,41.2748,2.5292,37.75,37.75,37.3274,37.7503,0.0582,0.0134,0.0447,0.0821,0.0089,0.0732,0.0582,-0.0017,0.06,0.1391,0.0464,0.0927,114664600.0,50.1516,49.4224,48.9985,51.8225,41.0663,24.2741,39.69,39.72,38.67,39.34,39.34,3099900,0.0,1.0,MAS
2019-08-26,39758999.747,42.8571,78.5714,37.5286,39.411,41.2934,38.0302,39.9529,41.8756,37.2202,38.892,40.5639,37.6049,39.4785,41.3521,-2.1174,37.734,37.734,37.3139,37.7308,0.0665,0.0251,0.0414,0.1069,0.0359,0.071,0.0841,0.0238,0.0604,0.1346,0.0535,0.0811,117764500.0,50.5038,47.769,49.0618,47.2859,61.1581,40.2293,38.92,39.46,38.68,39.41,39.41,2103200,0.0,1.0,MAS
2019-08-23,37925437.0804,50.0,85.7143,37.5048,39.4795,41.4542,38.0124,40.0654,42.1185,37.1587,38.9895,40.8204,37.5584,39.6075,41.6566,-8.2918,37.7171,37.7171,37.3002,37.7189,0.0691,0.034,0.0351,0.1634,0.1014,0.062,0.115,0.0605,0.0544,0.2052,0.1375,0.0677,115661300.0,46.7857,52.8947,47.5518,55.6981,72.7057,58.6955,40.25,40.29,38.44,38.66,38.66,2705100,0.0,1.0,MAS
2019-08-22,39987159.1714,57.1429,92.8571,37.5,39.6215,41.743,37.9084,40.1604,42.4124,37.0845,39.126,41.1676,37.5097,39.6535,41.7973,168.559,37.7077,37.7077,37.2888,37.6934,0.1477,0.1211,0.0266,0.1486,0.1119,0.0367,0.1771,0.1378,0.0393,0.157,0.1236,0.0334,118366400.0,56.8278,58.9842,61.1603,61.0018,72.0901,84.5494,40.95,41.15,40.38,40.56,40.56,2934300,0.0,1.0,MAS
2019-08-21,41549577.1415,64.2857,100.0,37.3014,39.7125,42.1236,37.7771,40.2319,42.6867,37.0791,39.1295,41.1799,37.506,39.656,41.806,225.2693,37.679,37.679,37.2577,37.6607,0.0525,0.0562,-0.0037,0.04,0.0314,0.0087,0.0562,0.0514,0.0049,0.0219,0.0194,0.0025,121300700.0,59.058,60.1811,61.2442,60.0945,55.1505,74.8723,40.77,41.31,40.39,40.92,40.92,5138400,0.0,1.0,MAS
2019-08-20,40767673.1078,71.4286,0.0,37.2717,39.6265,41.9813,37.719,40.1414,42.5638,37.0036,39.015,41.0265,37.3706,39.533,41.6954,59.3512,37.6464,37.6464,37.2262,37.6295,-0.1064,-0.0887,-0.0177,-0.1154,-0.1162,0.0008,-0.0998,-0.0918,-0.008,-0.1326,-0.1302,-0.0024,116162300.0,52.9633,52.8518,50.3717,47.7373,37.251,56.8486,38.8,39.99,38.67,39.64,39.64,4027200,0.0,1.0,MAS
2019-08-19,38876117.7596,78.5714,7.1429,37.1777,39.5745,41.9713,37.568,40.0749,42.5818,36.8923,38.9705,41.0488,37.2214,39.4855,41.7496,-23.9376,37.6264,37.6264,37.2117,37.6177,-0.1774,-0.1819,0.0044,-0.1777,-0.2076,0.0299,-0.1224,-0.1374,0.015,-0.1272,-0.1574,0.0302,112135100.0,48.3934,47.5549,51.3042,49.9233,26.4676,33.7304,39.1,39.21,38.79,38.82,38.82,2080200,0.0,1.0,MAS
2019-08-16,40659157.1275,85.7143,0.0,36.9785,39.512,42.0455,37.3701,40.0139,42.6577,36.7018,38.898,41.0943,37.0533,39.423,41.7927,-102.4653,37.6144,37.6144,37.1958,37.6028,-0.182,-0.2319,0.0499,-0.1752,-0.257,0.0818,-0.1617,-0.211,0.0493,-0.1491,-0.2186,0.0695,110054900.0,46.2651,42.6457,42.2947,43.2465,24.4138,21.1741,38.27,38.57,37.7,38.46,38.46,1920300,0.0,1.0,MAS
2019-08-15,39224450.2309,92.8571,0.0,36.8841,39.4815,42.0789,37.3701,40.0139,42.6577,36.7218,38.9045,41.0873,37.0704,39.429,41.7876,-124.5624,37.6059,37.6059,37.1908,37.5961,-0.1485,-0.2564,0.1079,-0.1044,-0.2504,0.1461,-0.0985,-0.2006,0.1021,-0.0903,-0.2145,0.1242,108134600.0,43.5004,42.411,42.2947,42.2121,31.2884,24.4982,38.15,38.54,37.7,38.0,38.0,1534700,0.0,1.0,MAS
2019-08-14,39662935.9452,100.0,0.0,36.9171,39.492,42.0669,37.3503,40.0079,42.6656,36.717,38.903,41.0891,37.1021,39.4395,41.777,-133.4756,37.6019,37.6019,37.1857,37.5905,-0.0568,-0.2287,0.172,-0.0094,-0.218,0.2087,-0.0164,-0.1687,0.1522,-0.0017,-0.1795,0.1778,106599900.0,43.027,43.4566,41.6177,45.4837,41.6932,27.569,38.66,38.73,37.6208,37.92,37.92,2254400,0.0,1.0,MAS
